n_clusters,from_POT_k_means,custom_kmeans,from_POT_random,custom_random
30,0.4729972921578237,0.47299729146746067,0.4740083038395176,0.47400830311882336
50,0.47297145398146656,0.47297145305595567,0.47459309545536027,0.47459309441150227
100,0.4730119604937222,0.4730119593559608,0.47465389722542906,0.4746538961006015
200,0.473015518951849,0.4730155173074495,0.47459648263537474,0.47459648160125106
300,0.4730246003955939,0.4730245988813553,0.4737024619080768,0.47370246046829023
