n_clusters,from_POT,custom
10,0.010344465357141286,0.010628398284290077
30,0.008896562731429834,0.00789931083571511
100,0.21984581900064118,0.041291268314203725
300,0.11390002671448331,0.05545440251428642
500,0.11446740929994641,0.0836120280715217
1000,0.3753496328567313,0.247501100286172
2000,1.585648026285136,1.4722243892860465
3500,4.206015256000163,3.9252593800005604
